model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,1.0,accuracy,0.005745887756347656,4.740370988845825,0.0,0.05875754356384277,2,True,12
NeuralNetFastAI,1.0,accuracy,0.005745887756347656,4.681613445281982,0.005745887756347656,4.681613445281982,1,True,1
LightGBMXT,0.9583333333333334,accuracy,0.0,0.23170948028564453,0.0,0.23170948028564453,1,True,2
CatBoost,0.9583333333333334,accuracy,0.0,0.6037240028381348,0.0,0.6037240028381348,1,True,6
NeuralNetTorch,0.9583333333333334,accuracy,0.005000114440917969,1.9996166229248047,0.005000114440917969,1.9996166229248047,1,True,10
LightGBMLarge,0.9583333333333334,accuracy,0.005486965179443359,0.3313028812408447,0.005486965179443359,0.3313028812408447,1,True,11
XGBoost,0.9583333333333334,accuracy,0.012012243270874023,1.4442265033721924,0.012012243270874023,1.4442265033721924,1,True,9
LightGBM,0.9166666666666666,accuracy,0.006024360656738281,0.1891181468963623,0.006024360656738281,0.1891181468963623,1,True,3
ExtraTreesEntr,0.9166666666666666,accuracy,0.040924072265625,0.495560884475708,0.040924072265625,0.495560884475708,1,True,8
RandomForestEntr,0.9166666666666666,accuracy,0.04176735877990723,0.5130171775817871,0.04176735877990723,0.5130171775817871,1,True,5
ExtraTreesGini,0.9166666666666666,accuracy,0.04235363006591797,0.5248546600341797,0.04235363006591797,0.5248546600341797,1,True,7
RandomForestGini,0.9166666666666666,accuracy,0.04270172119140625,0.6190071105957031,0.04270172119140625,0.6190071105957031,1,True,4
